T,Alt,Veloc,FAlt,FVeloc,LDA,LowV,Apogee,N-O,Drogue,Main
15.10,7174.00,260.00,7125.55,242.26,0,0,0,0,0,0
15.15,7183.00,180.00,7137.04,229.80,0,0,0,0,0,0
15.20,7196.00,260.00,7148.83,235.85,0,0,0,0,0,0
15.25,7210.00,280.00,7161.06,244.68,0,0,0,0,0,0
15.30,7222.00,240.00,7173.25,243.74,0,0,0,0,0,0
15.35,7230.00,160.00,7184.60,226.99,0,0,0,0,0,0
15.40,7245.00,300.00,7196.68,241.59,0,0,0,0,0,0
15.45,7251.00,120.00,7207.54,217.28,0,0,0,0,0,0
15.50,7264.00,260.00,7218.84,225.82,0,0,0,0,0,0
15.55,7276.00,240.00,7230.27,228.65,0,0,0,0,0,0
15.60,7288.00,240.00,7241.81,230.93,0,0,0,0,0,0
15.65,7297.00,180.00,7252.85,220.74,0,0,0,0,0,0
15.70,7310.00,260.00,7264.28,228.59,0,0,0,0,0,0
15.75,7317.00,140.00,7274.83,210.87,0,0,0,0,0,0
15.80,7329.00,240.00,7285.66,216.70,0,0,0,0,0,0
15.85,7341.00,240.00,7296.73,221.36,0,0,0,0,0,0
15.90,7351.00,200.00,7307.58,217.09,0,0,0,0,0,0
15.95,7361.00,200.00,7318.27,213.67,0,0,0,0,0,0
16.00,7372.00,220.00,7329.01,214.93,0,0,0,0,0,0
16.05,7380.00,160.00,7339.21,203.95,0,0,0,0,0,0
16.10,7391.00,220.00,7349.57,207.16,0,0,0,0,0,0
16.15,7402.00,220.00,7360.05,209.73,0,0,0,0,0,0
16.20,7412.00,200.00,7370.44,207.78,0,0,0,0,0,0
16.25,7418.00,120.00,7379.95,190.22,0,0,0,0,0,0
16.30,7432.00,280.00,7390.36,208.18,0,0,0,0,0,0
16.35,7441.00,180.00,7400.49,202.55,0,0,0,0,0,0
16.40,7448.00,140.00,7409.99,190.04,0,0,0,0,0,0
16.45,7457.00,180.00,7419.39,188.03,0,0,0,0,0,0
16.50,7469.00,240.00,7429.32,198.42,0,0,0,0,0,0
16.55,7476.00,140.00,7438.65,186.74,0,0,0,0,0,0
16.60,7488.00,240.00,7448.52,197.39,0,0,0,0,0,0
16.65,7493.00,100.00,7457.42,177.91,0,0,0,0,0,0
16.70,7507.00,280.00,7467.33,198.33,0,0,0,0,0,0
16.75,7515.00,160.00,7476.87,190.66,0,0,0,0,0,0
16.80,7522.00,140.00,7485.89,180.53,0,0,0,0,0,0
16.85,7530.00,160.00,7494.71,176.43,0,0,0,0,0,0
16.90,7539.00,180.00,7503.57,177.14,0,0,0,0,0,0
16.95,7549.00,200.00,7512.66,181.71,0,0,0,0,0,0
17.00,7558.00,180.00,7521.73,181.37,0,0,0,0,0,0
17.05,7568.00,200.00,7530.98,185.10,0,0,0,0,0,0
17.10,7575.00,140.00,7539.78,176.07,0,0,0,0,0,0
17.15,7586.00,220.00,7549.03,184.86,0,0,0,0,0,0
17.20,7593.00,140.00,7557.82,175.89,0,0,0,0,0,0
17.25,7602.00,180.00,7566.66,176.71,0,0,0,0,0,0
17.30,7608.00,120.00,7574.93,165.37,0,0,0,0,0,0
17.35,7617.00,180.00,7583.34,168.30,0,0,0,0,0,0
17.40,7627.00,200.00,7592.07,174.64,0,0,0,0,0,0
17.45,7633.00,120.00,7600.26,163.71,0,0,0,0,0,0
17.50,7639.00,120.00,7608.01,154.97,0,0,0,0,0,0
17.55,7650.00,220.00,7616.41,167.97,0,0,0,0,0,0
17.60,7656.00,120.00,7624.32,158.38,0,0,0,0,0,0
